Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setEncryptedText(findTestObject(""Object Repository/Home_Page/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 125.0.0.0,,,02-07-2024 22:31:33,02-07-2024 22:31:34,0.360s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Home_Page/button_Login""))",Chrome 125.0.0.0,,,02-07-2024 22:31:34,02-07-2024 22:31:34,0.280s,PASSED
"click(findTestObject(""Object Repository/Home_Page/button_Login""))",Chrome 125.0.0.0,,,02-07-2024 22:31:34,02-07-2024 22:31:35,0.804s,PASSED
"verifyElementText(findTestObject(""Object Repository/Home_Page/h2_Make Appointment""), ""Make Appointment"")",Chrome 125.0.0.0,,,02-07-2024 22:31:35,02-07-2024 22:31:35,0.346s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Home_Page/select_Tokyo CURA Healthcare Center        _5b4107""), 0)",Chrome 125.0.0.0,,,02-07-2024 22:31:35,02-07-2024 22:31:35,0.308s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Home_Page/select_Tokyo CURA Healthcare Center        _5b4107""), ""Tokyo CURA Healthcare Center"", true)",Chrome 125.0.0.0,,,02-07-2024 22:31:35,02-07-2024 22:31:36,0.902s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Home_Page/label_Apply for hospital readmission""))",Chrome 125.0.0.0,,,02-07-2024 22:31:36,02-07-2024 22:31:36,0.296s,PASSED
"click(findTestObject(""Object Repository/Home_Page/input_Apply for hospital readmission_hospit_63901f""))",Chrome 125.0.0.0,,,02-07-2024 22:31:36,02-07-2024 22:31:37,0.316s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Home_Page/div_Healthcare Program                     _4552b2""))",Chrome 125.0.0.0,,,02-07-2024 22:31:37,02-07-2024 22:31:37,0.286s,PASSED
"click(findTestObject(""Object Repository/Home_Page/input_Visit Date (Required)_visit_date""))",Chrome 125.0.0.0,,,02-07-2024 22:31:37,02-07-2024 22:31:37,0.319s,PASSED
"click(findTestObject(""Object Repository/Home_Page/td_3""))",Chrome 125.0.0.0,,,02-07-2024 22:31:37,02-07-2024 22:31:38,0.560s,PASSED
"click(findTestObject(""Object Repository/Home_Page/input_Visit Date (Required)_visit_date""))",Chrome 125.0.0.0,,,02-07-2024 22:31:38,02-07-2024 22:31:38,0.524s,PASSED
"rightClick(findTestObject(""Object Repository/Home_Page/input_Visit Date (Required)_visit_date""))",Chrome 125.0.0.0,,,02-07-2024 22:31:38,02-07-2024 22:31:39,0.381s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Home_Page/div_Visit Date (Required)""), 0)",Chrome 125.0.0.0,,,02-07-2024 22:31:39,02-07-2024 22:31:39,0.266s,PASSED
"setText(findTestObject(""Object Repository/Home_Page/textarea_Comment_comment""), ""Yearly examination"")",Chrome 125.0.0.0,,,02-07-2024 22:31:39,02-07-2024 22:31:40,0.575s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Home_Page/button_Book Appointment""))",Chrome 125.0.0.0,,,02-07-2024 22:31:40,02-07-2024 22:31:40,0.285s,PASSED
"click(findTestObject(""Object Repository/Home_Page/button_Book Appointment""))",Chrome 125.0.0.0,,,02-07-2024 22:31:40,02-07-2024 22:31:41,0.738s,PASSED
"verifyElementText(findTestObject(""Object Repository/Home_Page/h2_Appointment Confirmation""), ""Appointment Confirmation"")",Chrome 125.0.0.0,,,02-07-2024 22:31:41,02-07-2024 22:31:41,0.292s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Home_Page/a_Go to Homepage""))",Chrome 125.0.0.0,,,02-07-2024 22:31:41,02-07-2024 22:31:41,0.290s,PASSED
"click(findTestObject(""Object Repository/Home_Page/a_Go to Homepage""))",Chrome 125.0.0.0,,,02-07-2024 22:31:41,02-07-2024 22:31:42,0.586s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,02-07-2024 22:31:42,02-07-2024 22:31:42,0.370s,PASSED
,,,,,,,
Test Cases/TestCase4/MakeAnAppointment3,Chrome 125.0.0.0,Make an appointment through an Seoul Facility,"@smoke, @sanity",02-07-2024 22:31:42,02-07-2024 22:32:00,17.872s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,02-07-2024 22:31:42,02-07-2024 22:31:44,1.653s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 125.0.0.0,,,02-07-2024 22:31:44,02-07-2024 22:31:47,3.425s,PASSED
"click(findTestObject(""Object Repository/Home_Page/h1_CURA Healthcare Service""))",Chrome 125.0.0.0,,,02-07-2024 22:31:47,02-07-2024 22:31:48,0.295s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Home_Page/h1_CURA Healthcare Service""), 0)",Chrome 125.0.0.0,,,02-07-2024 22:31:48,02-07-2024 22:31:48,0.261s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Home_Page/a_Make Appointment""))",Chrome 125.0.0.0,,,02-07-2024 22:31:48,02-07-2024 22:31:48,0.274s,PASSED
"click(findTestObject(""Object Repository/Home_Page/a_Make Appointment""))",Chrome 125.0.0.0,,,02-07-2024 22:31:48,02-07-2024 22:31:49,0.801s,PASSED
"setText(findTestObject(""Object Repository/Home_Page/input_Username_username""), ""John Doe"")",Chrome 125.0.0.0,,,02-07-2024 22:31:49,02-07-2024 22:31:50,0.586s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Home_Page/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 125.0.0.0,,,02-07-2024 22:31:50,02-07-2024 22:31:50,0.342s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Home_Page/button_Login""))",Chrome 125.0.0.0,,,02-07-2024 22:31:50,02-07-2024 22:31:50,0.276s,PASSED
"click(findTestObject(""Object Repository/Home_Page/button_Login""))",Chrome 125.0.0.0,,,02-07-2024 22:31:50,02-07-2024 22:31:51,0.852s,PASSED
"verifyElementText(findTestObject(""Object Repository/Home_Page/h2_Make Appointment""), ""Make Appointment"")",Chrome 125.0.0.0,,,02-07-2024 22:31:51,02-07-2024 22:31:52,0.507s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Home_Page/select_Tokyo CURA Healthcare Center        _5b4107""), 0)",Chrome 125.0.0.0,,,02-07-2024 22:31:52,02-07-2024 22:31:52,0.268s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Home_Page/select_Tokyo CURA Healthcare Center        _5b4107""), ""Seoul CURA Healthcare Center"", true)",Chrome 125.0.0.0,,,02-07-2024 22:31:52,02-07-2024 22:31:53,0.867s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Home_Page/label_Apply for hospital readmission""))",Chrome 125.0.0.0,,,02-07-2024 22:31:53,02-07-2024 22:31:53,0.282s,PASSED
"click(findTestObject(""Object Repository/Home_Page/input_Apply for hospital readmission_hospit_63901f""))",Chrome 125.0.0.0,,,02-07-2024 22:31:53,02-07-2024 22:31:53,0.294s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Home_Page/div_Healthcare Program                     _4552b2""))",Chrome 125.0.0.0,,,02-07-2024 22:31:53,02-07-2024 22:31:54,0.286s,PASSED
"click(findTestObject(""Object Repository/Home_Page/input_Visit Date (Required)_visit_date""))",Chrome 125.0.0.0,,,02-07-2024 22:31:54,02-07-2024 22:31:54,0.308s,PASSED
"click(findTestObject(""Object Repository/Home_Page/td_3""))",Chrome 125.0.0.0,,,02-07-2024 22:31:54,02-07-2024 22:31:55,0.518s,PASSED
"click(findTestObject(""Object Repository/Home_Page/input_Visit Date (Required)_visit_date""))",Chrome 125.0.0.0,,,02-07-2024 22:31:55,02-07-2024 22:31:55,0.525s,PASSED
"rightClick(findTestObject(""Object Repository/Home_Page/input_Visit Date (Required)_visit_date""))",Chrome 125.0.0.0,,,02-07-2024 22:31:55,02-07-2024 22:31:55,0.408s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Home_Page/div_Visit Date (Required)""), 0)",Chrome 125.0.0.0,,,02-07-2024 22:31:55,02-07-2024 22:31:56,0.277s,PASSED
"setText(findTestObject(""Object Repository/Home_Page/textarea_Comment_comment""), ""Yearly examination"")",Chrome 125.0.0.0,,,02-07-2024 22:31:56,02-07-2024 22:31:56,0.643s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Home_Page/button_Book Appointment""))",Chrome 125.0.0.0,,,02-07-2024 22:31:56,02-07-2024 22:31:57,0.332s,PASSED
"click(findTestObject(""Object Repository/Home_Page/button_Book Appointment""))",Chrome 125.0.0.0,,,02-07-2024 22:31:57,02-07-2024 22:31:57,0.699s,PASSED
"verifyElementText(findTestObject(""Object Repository/Home_Page/h2_Appointment Confirmation""), ""Appointment Confirmation"")",Chrome 125.0.0.0,,,02-07-2024 22:31:57,02-07-2024 22:31:58,0.507s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Home_Page/a_Go to Homepage""))",Chrome 125.0.0.0,,,02-07-2024 22:31:58,02-07-2024 22:31:58,0.298s,PASSED
"click(findTestObject(""Object Repository/Home_Page/a_Go to Homepage""))",Chrome 125.0.0.0,,,02-07-2024 22:31:58,02-07-2024 22:31:59,0.594s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,02-07-2024 22:31:59,02-07-2024 22:32:00,1.362s,PASSED
